epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
58,26.928,0.43127,0.37748,0.6692,0.82335,0,0.96608,1,0.995,0.92325,0.96608,1,0.995,0.91338,0.39895,0.46046,0.62753,0.80544,0,0.000544625,0.000544625,0.000544625
59,27.415,0.40987,0.41115,0.64678,0.84692,0,0.97614,1,0.995,0.92681,0.97614,1,0.995,0.90859,0.36598,0.45727,0.58667,0.80552,0,0.00053225,0.00053225,0.00053225
60,27.8555,0.39249,0.40842,0.66453,0.84709,0,0.97614,1,0.995,0.92681,0.97614,1,0.995,0.90859,0.36598,0.45727,0.58667,0.80552,0,0.000519875,0.000519875,0.000519875
61,28.2998,0.41537,0.40212,0.65203,0.82964,0,0.98323,1,0.995,0.92952,0.98323,1,0.995,0.90223,0.3651,0.4554,0.57515,0.80497,0,0.0005075,0.0005075,0.0005075
62,28.7346,0.42785,0.40624,0.62057,0.83387,0,0.98323,1,0.995,0.92952,0.98323,1,0.995,0.90223,0.3651,0.4554,0.57515,0.80497,0,0.000495125,0.000495125,0.000495125
63,29.1868,0.45871,0.4234,0.58798,0.82333,0,0.98168,1,0.995,0.92648,0.98168,1,0.995,0.90289,0.35008,0.45603,0.58361,0.80573,0,0.00048275,0.00048275,0.00048275
64,29.6261,0.41038,0.41004,0.60066,0.829,0,0.98168,1,0.995,0.92648,0.98168,1,0.995,0.90289,0.35008,0.45603,0.58361,0.80573,0,0.000470375,0.000470375,0.000470375
65,30.0702,0.41353,0.39444,0.59241,0.82215,0,0.98268,1,0.995,0.93218,0.98268,1,0.995,0.90414,0.35926,0.46166,0.57419,0.80364,0,0.000458,0.000458,0.000458
66,30.5064,0.38539,0.36974,0.63576,0.85606,0,0.98268,1,0.995,0.93218,0.98268,1,0.995,0.90414,0.35926,0.46166,0.57419,0.80364,0,0.000445625,0.000445625,0.000445625
67,30.9514,0.38265,0.41218,0.57341,0.81857,0,0.98267,1,0.995,0.93573,0.98267,1,0.995,0.90922,0.36031,0.46774,0.56196,0.80207,0,0.00043325,0.00043325,0.00043325
